,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
157,China,CHN,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,8.0,8.0,8.0,8.0,,,,
163,China,CHN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,China,CHN,Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36500000000.0,33500000000.0,24215000000.0,,,,,,,,
177,China,CHN,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,,,,,,,,,,,,,,,,,,-12.3353846153846,-12.420139915246,-1.42667140483994,0.178743434959243,-0.502448134235561,-0.104218036382346,0.0979916023075936,1.30383966370855,-1.02539326218941,0.56475643516567,1.70847576910023,2.01180648772514,1.43541156675526,2.22912586237911,2.64477790811931,3.71582066892722,3.31845472955472,2.73986401599766,2.71715512315336,3.03619245056889,2.02813660872039,5.68653226617,6.48899741159864,5.85911631532186,9.93647815191822,10.9531646989755,9.58980851059559,9.66089622771979,8.11304665307943,6.99526826952354,10.443758494022,9.22007414432906,9.3218833378786,8.39665944385464,8.68218528356981,9.41062166230762,8.27093571385255,8.55347386124636,14.2695613788415,21.7514277795994,24.6253960943825,27.3450993013416,29.4081411751516,33.5640043908515,33.5154561720823,37.1721908175854,
178,China,CHN,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,5.039999999,5.039999999,7.199999999,7.199999999,7.199999999,7.919999999,7.92,7.92,9.0,11.34,9.36,8.64,8.64,10.98,10.98,12.06,10.08,8.64,6.39,5.85,5.85,5.85,5.31,5.31,5.58,5.58,6.12,7.47,5.31,5.31,5.81,6.56,6.0,6.0,5.6,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,
181,China,CHN,Net domestic credit (current LCU),FM.AST.DOMS.CN,,,,,,,,,,,,,,,,,,126240000000.0,139310000000.0,198110000000.0,242250000000.0,273990000000.0,304670000000.0,343700000000.0,451450000000.0,592950000000.0,794180000000.0,970870000000.0,1153640000000.0,1349790000000.0,1668920000000.0,2002670000000.0,2449920000000.0,3575210000000.0,4310370000000.0,5331860000000.0,6642170000000.0,7954341000000.0,9546867000000.0,10701300000000.0,11873212000000.0,13487599000000.0,17262473000000.0,20628364000000.0,22441911000000.0,24836710000000.0,28873779000000.0,33965923000000.0,37937867000000.0,49458027036317.5,58732402380409.3,68797152649750.1,80559373600397.0,92700701698434.5,107696217744950.0,133269276018165.0,160006721141338.0,178027808559060.0,196545136539864.0,217283339007640.0,244000457968308.0,267342833607684.0,294948575392955.0,
183,China,CHN,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,65.3306292364282,74.738671582078,76.1741992070128,71.9704996758095,75.1233644790892,84.0455160539219,86.3215519441085,84.4096192885607,94.9899957473316,84.3851799758283,83.0973105575979,88.5383462243356,96.511255171815,105.07135065871,110.271416484894,111.013078790344,109.86821104567,117.328846133303,125.521347506553,118.551915003504,111.807301085928,109.128155488551,105.76396473165,101.989746096482,124.395396255503,126.573430593254,123.090805793811,128.917999180592,134.315037086747,140.235081055166,152.584085545952,156.219087356512,154.882799206069,157.809050264081,165.390369621906,182.868059385178,177.267426847586,185.363493889347,
201,China,CHN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95079355378859,1.82937551534869,1.64476901034084,1.54338608194593,1.3986169141848,1.37782543774099,1.22369397344483,1.1240443150869,1.0642657054107,0.949906048600416,0.908532312450942,0.864888812324168,0.839397703764096,0.871863834296728,0.891131269580749,0.883571748104159,0.840400861149051,0.778182667241147,0.716891436061114,0.698108277661049,0.684556525267189,0.670493270629503,0.630798744243144,0.616564037878549,0.585297654690664,0.553993430368542,0.526980725619998,0.507329210515754,0.486080645102757,0.459036473322334,0.450690817090424,,,
204,China,CHN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.6595242856,480.125933653922,434.629126253198,404.265129579428,374.571517288557,362.468186967024,338.919863555613,309.934537208359,289.359171817041,273.962737266064,260.449263386049,250.195806693024,244.712641937632,254.141377157414,263.250391569644,261.252791097485,253.382773948216,239.901292536428,225.67549885637,220.393525668495,220.012739960348,215.398964590408,207.275985361881,198.54579573458,187.687033335641,,,,,,,,,
205,China,CHN,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85646025905929,2.08278688965968,2.30081220883811,2.47362418084473,2.66971714037091,2.75886280770614,2.95054998992678,3.22648778999331,3.45591257301597,3.65013143750579,3.8395194019718,3.99686954476796,4.08642558096718,3.93481774272674,3.79866481503579,3.82771030234413,3.94659820167717,4.16838104299982,4.43114119639742,4.53733836766217,4.54519133837533,4.64254785022552,4.82448556813811,5.03662138148128,5.32801857553844,,,,,,,,,
209,China,CHN,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89,10.38,10.11,10.48,10.84,10.72,10.41,9.81,9.18,8.95,8.93,8.75,8.41,8.05,7.69,7.21,6.71,6.51,6.39,6.31,6.37,,,
219,China,CHN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98639281256201,12.0804460818306,10.5555340636235,35.6282887587911,38.5871589719433,27.635872042332,,62.1285767602934,34.5512325426416,22.9986372398788,23.3696543522329,26.1588342222631,17.1641886416003,42.112689270384,177.601867047211,84.9972002949932,153.493743713007,135.657668078578,88.3790629016484,58.9204148433202,80.4138203851572,114.163397291003,355.51920039721,162.864305225218,139.907740309583,94.0678608400384,127.785325214212,215.013666718156,,,
222,China,CHN,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,0.301000001670038,0.234950644841302,0.15503189426014,0.0875639686727539,0.148052537850591,0.0835394053923006,0.10447773529576,0.0543063111426256,0.054298379826764,0.101681567707581,0.145082502599815,0.141968875349251,0.151863685588181,0.0476524455720741,0.193574683245316,0.477224455255133,0.0334285429354637,0.0484456052654012,0.0625825317198815,0.0902642406244306,0.160012125742882,0.278587353256076,0.339644105652139,0.145980682730527,0.156951546333091,0.192464767492085,0.198865414659854,0.180518374523848,0.224012016826349,0.219403721317414,0.200014674499163,0.185885376015872,0.285524741597337,0.299276380176618,0.239317434276932,0.232939390318651,0.174924555893236,0.128111719031513,0.128517023033486,0.126146574567634,0.145329420846753,
228,China,CHN,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,-21000000.0,621000000.0,1638000000.0,-3027000000.0,-1568000000.0,-1051000000.0,-876000000.0,180000000.0,241000000.0,-235000000.0,57000000.0,-3049000000.0,-3543000000.0,-789400000.0,-1744000000.0,-6943000000.0,3732000000.0,11234000000.0,3990732000.0,19405000000.0,10342485051.8252,-11437115819.9986,-19743601592.0469,4709837172.2624,68416515086.0359,-16442973699.6943,-34852395243.9119,-27087363798.0013,-24038442273.013,-19639146481.0331,-47779274570.0752,-52891117744.1311,-82429447386.7501,66470061883.31,52270616754.1906,-29497793098.2633,-106873525546.721,-57947645385.638,-95539019942.7,-51365856850.46,281113323707.33,
231,China,CHN,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,44000000.0,93000000.0,134000000.0,629000000.0,450000000.0,645000000.0,850000000.0,780000000.0,830000000.0,913000000.0,4000000000.0,4400000000.0,2000000000.0,2000000000.0,2114000000.0,3765000000.0,4527000000.0,4036000000.0,4612000000.0,9696000000.0,6284049718.62298,8456083723.56331,7972601713.71155,13729566302.8637,23932198467.5382,17154799701.5885,56742276629.6973,43889985500.0,57953599366.3569,48420641059.6476,64963386524.0,72970879683.31,123129554305.76,174390681862.62,216424460753.575,138292767802.139,143026576683.861,136910000000.0,153720808338.11,178797739982.88,149692325677.08,
280,China,CHN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99070781,0.9747563,1.11262381,1.25344622,1.29851866,1.36797953,1.38712025,1.43417549,1.7363745,2.14862132,2.19598818,2.33301282,2.54478717,2.68986797,2.79103708,2.97190666,2.89319348,2.87102771,2.91554713,2.99503422,3.06103563,,,
